# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
23, refcount, cmpxchg_weak, 49219774.000000, 49.2197740000, 814601000.000000, 814.601000
23, refcount, std::shared_ptr, 29022742.000000, 29.0227420000, 509466000.000000, 509.466000
23, spinlock, fetch_or, 427990625.000000, 427.9906250000, 7902894000.000000, 7902.894000
23, spinlock, cmpxchg_strong, 85583445.000000, 85.5834450000, 1581513000.000000, 1581.513000
23, spinlock, cmpxchg_strong_pause, 55361760.000000, 55.3617600000, 793626000.000000, 793.626000
23, spinlock, cmpxchg_weak, 65151432.000000, 65.1514320000, 912724000.000000, 912.724000
23, spinlock, cmpxchg_weak_pause, 89783473.000000, 89.7834730000, 1776864000.000000, 1776.864000
23, spinlock, std::mutex, 81806488.000000, 81.8064880000, 1677905000.000000, 1677.905000
24, refcount, fetch_sub, 40601945.000000, 40.6019450000, 721816000.000000, 721.816000
24, refcount, cmpxchg_strong, 56066459.000000, 56.0664590000, 982323000.000000, 982.323000
24, refcount, cmpxchg_weak, 58296189.000000, 58.2961890000, 1054428000.000000, 1054.428000
24, refcount, std::shared_ptr, 31918456.000000, 31.9184560000, 576362000.000000, 576.362000
24, spinlock, fetch_or, 402258701.000000, 402.2587010000, 8858495000.000000, 8858.495000
24, spinlock, cmpxchg_strong, 86878825.000000, 86.8788250000, 1344438000.000000, 1344.438000
24, spinlock, cmpxchg_strong_pause, 94832996.000000, 94.8329960000, 1834010000.000000, 1834.010000
24, spinlock, cmpxchg_weak, 121320536.000000, 121.3205360000, 2213715000.000000, 2213.715000
24, spinlock, cmpxchg_weak_pause, 102778306.000000, 102.7783060000, 1941577000.000000, 1941.577000
24, spinlock, std::mutex, 81371313.000000, 81.3713130000, 1774457000.000000, 1774.457000
25, refcount, fetch_sub, 40618409.000000, 40.6184090000, 749252000.000000, 749.252000
25, refcount, cmpxchg_strong, 62842609.000000, 62.8426090000, 1222491000.000000, 1222.491000
25, refcount, cmpxchg_weak, 61010525.000000, 61.0105250000, 1126969000.000000, 1126.969000
25, refcount, std::shared_ptr, 33054889.000000, 33.0548890000, 630876000.000000, 630.876000
25, spinlock, fetch_or, 305682133.000000, 305.6821330000, 5827462000.000000, 5827.462000
25, spinlock, cmpxchg_strong, 102446127.000000, 102.4461270000, 1927079000.000000, 1927.079000
25, spinlock, cmpxchg_strong_pause, 91869434.000000, 91.8694340000, 1816594000.000000, 1816.594000
25, spinlock, cmpxchg_weak, 59975762.000000, 59.9757620000, 1035134000.000000, 1035.134000
25, spinlock, cmpxchg_weak_pause, 58309334.000000, 58.3093340000, 918697000.000000, 918.697000
25, spinlock, std::mutex, 77860457.000000, 77.8604570000, 1747642000.000000, 1747.642000
